Unnamed: 0,0000000000,Student ID,Session 21/09/2023,Session 28/09/2023,Session 05/10/2023,Session 12/10/2023,Session 19/10/2023,Session 26/10/2023,Session 02/11/2023,Session 09/11/2023,Session 16/11/2023,Session 23/11/2023,Session 30/11/2023,Session 07/12/2023,Session 14/12/2023,Session 21/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
0,0,0230192502,P,A,P,P,P,P,P,P,P,P,P,P,P,A,12,85.71428571428571,,9.1,6,,,,,,,,11.4,,,,,,,12,,,,,10,,,,,,,,,,15.3,,
1,1,0222128643,P,A,A,A,A,P,A,A,P,A,A,A,A,A,3,21.428571428571427,,5.8,14.5,,,,,,,,ABS_EXAM,,,,,,,10,,,,,2,,,,,,,,,,11.2,,
2,2,0210831908,P,A,P,P,P,P,P,P,A,A,A,A,P,A,8,57.14285714285714,,7.1,13,,,,,,,,6.2,,,,,,,4,,,,,3.2,,,,,,,,,,3.3,,
3,3,023242772c,P,A,P,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,ABS_EXAM,10,,,,,,,,,,,,,,,7,,,,,ABS_EXAM,,,,,,,,,,10.9,,
4,4,0231275945,P,A,P,P,P,P,A,A,A,A,A,A,A,A,5,35.714285714285715,,11.5,13,,,,,,,,9.3,,,,,,,15,,,,,6.1,,,,,,,,,,16.2,,
5,5,023111510d,A,A,P,P,P,P,A,A,A,A,A,A,A,A,4,28.57142857142857,,13.7,17,,,,,,,,14,,,,,,,16,,,,,17.1,,,,,,,,,,14.7,,
6,6,023216904c,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,2.4,7,,,,,,,,4.1,,,,,,,0,,,,,1,,,,,,,,,,2,,
7,7,0232637609,P,A,P,P,P,A,P,A,P,P,A,A,A,A,7,50.0,,4.1,12.5,,,,,,,,5,,,,,,,6,,,,,4.1,,,,,,,,,,12.8,,
8,8,0232348219,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,ABS_EXAM,ABS_EXAM,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,1.8,,,,,,,,,,ABS_EXAM,,
9,9,023018390d,A,A,A,P,P,A,A,A,A,P,A,A,P,A,4,28.57142857142857,,19.8,15.5,,,,,,,,19,,,,,,,20,,,,,13,,,,,,,,,,17.3,,
10,10,0230204115,P,A,P,P,P,P,P,P,A,A,A,A,P,A,8,57.14285714285714,,16.8,14.5,,,,,,,,14.3,,,,,,,17,,,,,13.6,,,,,,,,,,16,,
11,11,023111832d,P,A,P,P,P,P,P,A,P,P,A,A,A,A,8,57.14285714285714,,7.2,6.5,,,,,,,,7.8,,,,,,,10,,,,,7.9,,,,,,,,,,16,,
12,12,0232528451,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,10.9,ABS_EXAM,,,,,,,,7.1,,,,,,,14,,,,,8.5,,,,,,,,,,14.8,,
13,13,0230999717,P,P,P,P,A,A,A,A,A,A,A,A,A,A,4,28.57142857142857,,3.3,16,,,,,,,,6.3,,,,,,,5,,,,,6.1,,,,,,,,,,3.7,,
14,14,023011922d,A,A,P,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,3.2,7.5,,,,,,,,6.9,,,,,,,3,,,,,5.4,,,,,,,,,,14.3,,
15,15,0232421751,P,P,P,P,P,P,P,P,P,A,P,P,P,A,12,85.71428571428571,,10,10,,,,,,,,7.3,,,,,,,16,,,,,6.4,,,,,,,,,,15.6,,
16,16,023152592f,A,A,P,P,P,P,P,P,P,A,A,A,P,A,8,57.14285714285714,,8.7,8.5,,,,,,,,5.7,,,,,,,7,,,,,5.4,,,,,,,,,,12.8,,
17,17,0231697511,P,A,P,P,P,P,P,A,A,A,A,A,A,A,6,42.85714285714285,,7.1,7,,,,,,,,3.1,,,,,,,11,,,,,6.7,,,,,,,,,,14.5,,
18,18,0230315847,P,A,P,P,A,A,P,P,A,A,P,A,A,A,6,42.85714285714285,,12,8,,,,,,,,8.8,,,,,,,8,,,,,7.4,,,,,,,,,,14.2,,
19,19,0231766118,P,P,P,P,P,P,P,P,P,P,P,P,P,A,13,92.85714285714286,,7.7,10,,,,,,,,9.1,,,,,,,14,,,,,13,,,,,,,,,,16.6,,
20,20,0232302333,P,A,P,P,P,A,P,P,A,P,P,P,P,A,10,71.42857142857143,,,14,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,16.4,,
21,21,0230444500,P,A,P,P,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,7.1,6.5,,,,,,,,8.2,,,,,,,8,,,,,3.3,,,,,,,,,,3.3,,
22,22,0230147929,A,A,P,P,P,A,P,A,A,A,A,A,A,A,4,28.57142857142857,,18.5,10.5,,,,,,,,12.8,,,,,,,17,,,,,13.7,,,,,,,,,,17.3,,
23,23,0232374760,A,A,P,P,P,P,P,P,A,A,A,A,P,A,7,50.0,,16.2,12.5,,,,,,,,17.8,,,,,,,17,,,,,14.4,,,,,,,,,,17.3,,
24,24,023064755a,A,A,P,P,P,P,A,P,P,P,A,A,P,A,8,57.14285714285714,,8,4,,,,,,,,8.3,,,,,,,7,,,,,10.1,,,,,,,,,,15.8,,
25,25,0232608509,P,A,P,P,P,P,P,A,P,P,A,A,P,A,9,64.28571428571429,,9.5,10.5,,,,,,,,5,,,,,,,8,,,,,5.9,,,,,,,,,,13.7,,
26,26,0232421650,A,A,P,P,P,P,P,P,P,P,P,P,P,A,11,78.57142857142857,,17.5,12.5,,,,,,,,14.2,,,,,,,18,,,,,14.7,,,,,,,,,,18,,
27,27,0232586954,P,A,P,P,P,P,P,A,A,A,A,A,A,A,6,42.85714285714285,,ABS_EXAM_JUST,ABS_EXAM,,,,,,,,ABS_EXAM_JUST,,,,,,,ABS_EXAM_JUST,,,,,ABS_EXAM_JUST,,,,,,,,,,ABS_EXAM_JUST,,
28,28,023255060c,A,A,P,P,A,A,P,A,A,A,A,A,A,A,3,21.428571428571427,,10,10.5,,,,,,,,8.2,,,,,,,16,,,,,10,,,,,,,,,,14.5,,
29,29,023138314a,P,A,P,A,P,A,P,A,A,P,P,A,P,A,7,50.0,,14.6,12,,,,,,,,8.4,,,,,,,11,,,,,7.6,,,,,,,,,,16.7,,
30,30,0232547750,P,A,P,P,P,P,P,P,P,A,A,A,P,A,9,64.28571428571429,,7.1,6,,,,,,,,4,,,,,,,9,,,,,8.9,,,,,,,,,,12.7,,
31,31,0232410340,P,A,P,A,A,A,A,P,A,A,A,A,A,A,3,21.428571428571427,,6.8,15,,,,,,,,7.6,,,,,,,6,,,,,10,,,,,,,,,,10.2,,
32,32,023048305e,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,5.7,13,,,,,,,,3.3,,,,,,,4,,,,,3.6,,,,,,,,,,4,,
33,33,0232434610,P,A,A,P,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,7.4,6,,,,,,,,2.8,,,,,,,5,,,,,ABS_EXAM,,,,,,,,,,12.2,,
34,34,0232478543,P,A,P,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,4.5,13.5,,,,,,,,6.2,,,,,,,9,,,,,10.6,,,,,,,,,,13.5,,
35,35,023238264e,P,A,P,P,P,P,A,A,A,A,A,A,A,A,5,35.714285714285715,,12.5,14.5,,,,,,,,14.1,,,,,,,11,,,,,12.4,,,,,,,,,,14.7,,
36,36,023259900b,P,A,P,A,P,A,A,A,A,P,A,A,A,A,4,28.57142857142857,,10,5.5,,,,,,,,12.6,,,,,,,7,,,,,2.6,,,,,,,,,,13.9,,
37,37,0230901309,P,A,P,A,P,A,P,A,A,A,A,A,A,A,4,28.57142857142857,,20,15,,,,,,,,17.4,,,,,,,20,,,,,18.3,,,,,,,,,,17.3,,
38,38,0230174611,A,A,P,P,P,P,P,P,P,P,P,P,P,A,11,78.57142857142857,,13.8,8.5,,,,,,,,7.8,,,,,,,10,,,,,7.6,,,,,,,,,,16.2,,
39,39,0231297359,P,A,P,P,P,P,A,A,A,A,A,A,A,A,5,35.714285714285715,,20,14,,,,,,,,14.7,,,,,,,20,,,,,16.6,,,,,,,,,,16.9,,
40,40,0232548356,A,A,A,P,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,19.3,9,,,,,,,,8.3,,,,,,,12,,,,,12,,,,,,,,,,16.4,,
41,41,023251854f,P,P,P,P,P,P,A,A,A,A,P,A,A,A,7,50.0,,8.7,5,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,15.6,,
42,42,0231973139,P,A,P,A,A,P,A,A,A,A,A,P,A,A,4,28.57142857142857,,18,13,,,,,,,,15.6,,,,,,,19,,,,,15.6,,,,,,,,,,16.3,,
43,43,023249552b,P,A,P,A,A,P,A,A,A,A,A,A,A,A,3,21.428571428571427,,17,11.5,,,,,,,,14.7,,,,,,,14,,,,,14.1,,,,,,,,,,17,,
44,44,023010972f,P,A,P,P,P,P,P,P,A,A,A,A,A,A,7,50.0,,13.7,12.5,,,,,,,,6.3,,,,,,,15,,,,,10.7,,,,,,,,,,16.7,,
45,45,023216914d,P,A,A,A,P,A,P,A,A,A,A,A,A,A,3,21.428571428571427,,5.7,12.5,,,,,,,,9.5,,,,,,,7,,,,,8.8,,,,,,,,,,13.5,,
46,46,0231567248,P,A,P,P,P,P,P,P,P,P,P,P,P,A,12,85.71428571428571,,20,14.5,,,,,,,,20,,,,,,,20,,,,,19.4,,,,,,,,,,19.3,,
47,47,023159503b,P,A,P,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,10,13,,,,,,,,5.1,,,,,,,ABS_EXAM,,,,,7.8,,,,,,,,,,14,,
48,48,0230108220,A,A,P,P,P,P,P,P,P,A,P,P,P,A,10,71.42857142857143,,12.9,9,,,,,,,,10.3,,,,,,,16,,,,,14.8,,,,,,,,,,17,,
49,49,0232403159,P,A,A,P,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,13.4,14.5,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,,15.2,,
